neighbourhood,price per night,price per year
Ridgewood,215,78475
Harlem,175,63875
Hell's Kitchen,140,51100
Downtown Brooklyn,80,29200
Midtown,359,131035
Williamsburg,80,29200
Park Slope,935,341275
Astoria,120,43800
Longwood,85,31025
Sunset Park,100,36500
Crown Heights,64,23360
Lower East Side,75,27375
East Harlem,62,22630
Hell's Kitchen,96,35040
Kips Bay,350,127750
Upper East Side,100,36500
Flatbush,290,105850
Harlem,50,18250
Midtown,150,54750
Hell's Kitchen,81,29565
Astoria,70,25550
Clinton Hill,70,25550
East Village,150,54750
Williamsburg,95,34675
Crown Heights,150,54750
Fort Greene,169,61685
Cypress Hills,25,9125
Flatiron District,154,56210
Midtown,140,51100
Harlem,130,47450
Bedford-Stuyvesant,60,21900
West Village,250,91250
Williamsburg,55,20075
Boerum Hill,150,54750
Bushwick,45,16425
Sunset Park,199,72635
Morningside Heights,290,105850
Upper West Side,85,31025
Hell's Kitchen,150,54750
Crown Heights,60,21900
Bedford-Stuyvesant,170,62050
Jackson Heights,47,17155
Prospect-Lefferts Gardens,55,20075
Chinatown,195,71175
East Harlem,186,67890
Harlem,99,36135
Hell's Kitchen,155,56575
South Slope,60,21900
Gowanus,100,36500
Upper West Side,500,182500
Fort Greene,150,54750
Murray Hill,175,63875
Hell's Kitchen,148,54020
Harlem,130,47450
East Village,80,29200
Upper West Side,150,54750
Williamsburg,285,104025
Chinatown,70,25550
Upper West Side,150,54750
Prospect Heights,155,56575
East Village,82,29930
Upper West Side,200,73000
Bedford-Stuyvesant,60,21900
Gramercy,150,54750
Murray Hill,159,58035
Washington Heights,38,13870
East Village,155,56575
Williamsburg,184,67160
Flushing,65,23725
Upper East Side,150,54750
Prospect-Lefferts Gardens,50,18250
Bedford-Stuyvesant,60,21900
Hell's Kitchen,100,36500
Jackson Heights,60,21900
Upper West Side,110,40150
Greenpoint,50,18250
Midtown,325,118625
Greenwich Village,225,82125
Midtown,190,69350
Greenpoint,119,43435
Upper West Side,650,237250
Allerton,104,37960
Chinatown,175,63875
Williamsburg,190,69350
Upper West Side,40,14600
Gowanus,100,36500
Prospect Heights,75,27375
Upper West Side,125,45625
Little Italy,85,31025
Greenpoint,60,21900
Harlem,90,32850
Upper West Side,53,19345
Bedford-Stuyvesant,50,18250
East Harlem,45,16425
Upper West Side,110,40150
Sunset Park,200,73000
Greenwich Village,6000,2190000
Ridgewood,70,25550
East Village,199,72635
Forest Hills,65,23725
Williamsburg,95,34675
Downtown Brooklyn,80,29200
Upper West Side,200,73000
West Village,274,100010
Bushwick,50,18250
Prospect Heights,105,38325
Harlem,45,16425
Hell's Kitchen,350,127750
Upper East Side,350,127750
Murray Hill,180,65700
Hell's Kitchen,225,82125
Sunnyside,100,36500
Williamsburg,1300,474500
Washington Heights,55,20075
Bedford-Stuyvesant,70,25550
Williamsburg,50,18250
Crown Heights,67,24455
Midtown,150,54750
Financial District,35,12775
Williamsburg,90,32850
Harlem,53,19345
Hell's Kitchen,300,109500
Bedford-Stuyvesant,80,29200
Midtown,299,109135
Bushwick,41,14965
Bedford-Stuyvesant,50,18250
Ridgewood,70,25550
Harlem,500,182500
Chelsea,185,67525
Midtown,98,35770
Upper East Side,399,145635
Upper West Side,170,62050
Financial District,80,29200
Harlem,376,137240
Wakefield,99,36135
Hell's Kitchen,200,73000
Bedford-Stuyvesant,91,33215
Bedford-Stuyvesant,60,21900
East Village,60,21900
Bushwick,50,18250
West Village,250,91250
Greenwich Village,209,76285
South Slope,65,23725
Astoria,48,17520
East Harlem,60,21900
Clifton,165,60225
Midtown,218,79570
West Village,160,58400
Upper West Side,200,73000
Williamsburg,53,19345
Bushwick,65,23725
South Slope,280,102200
Clinton Hill,60,21900
Prospect-Lefferts Gardens,800,292000
Flushing,99,36135
Upper West Side,120,43800
Harlem,70,25550
Upper West Side,235,85775
Upper West Side,275,100375
Astoria,86,31390
Upper East Side,49,17885
East Harlem,85,31025
Astoria,125,45625
East Harlem,85,31025
Crown Heights,70,25550
Bedford-Stuyvesant,60,21900
Bedford-Stuyvesant,50,18250
Midtown,218,79570
East Harlem,135,49275
Prospect-Lefferts Gardens,120,43800
Astoria,55,20075
Fort Greene,150,54750
Kensington,75,27375
Harlem,43,15695
Hell's Kitchen,115,41975
Sunnyside,60,21900
Park Slope,160,58400
Harlem,39,14235
Harlem,45,16425
Flatbush,45,16425
Harlem,25,9125
Bushwick,65,23725
Harlem,125,45625
Jackson Heights,67,24455
Bedford-Stuyvesant,52,18980
Lower East Side,110,40150
Bedford-Stuyvesant,177,64605
Ridgewood,25,9125
Park Slope,175,63875
South Slope,150,54750
Williamsburg,75,27375
Prospect-Lefferts Gardens,41,14965
Upper West Side,185,67525
East Elmhurst,175,63875
Harlem,40,14600
Sunset Park,135,49275
Greenpoint,195,71175
Bedford-Stuyvesant,30,10950
Bedford-Stuyvesant,50,18250
Bedford-Stuyvesant,40,14600
Midtown,150,54750
Bedford-Stuyvesant,75,27375
Greenwich Village,100,36500
Bushwick,65,23725
Bedford-Stuyvesant,250,91250
Harlem,136,49640
Nolita,180,65700
Bushwick,55,20075
Astoria,65,23725
Williamsburg,225,82125
Williamsburg,99,36135
Williamsburg,90,32850
Crown Heights,20,7300
Upper West Side,980,357700
Chelsea,100,36500
Harlem,73,26645
Gowanus,380,138700
Upper East Side,99,36135
East Flatbush,105,38325
Prospect-Lefferts Gardens,35,12775
Williamsburg,200,73000
Bedford-Stuyvesant,105,38325
Upper West Side,180,65700
Hell's Kitchen,87,31755
Prospect-Lefferts Gardens,50,18250
Hell's Kitchen,69,25185
Kips Bay,150,54750
East Harlem,75,27375
Astoria,215,78475
Upper East Side,150,54750
Harlem,100,36500
Hell's Kitchen,224,81760
Forest Hills,119,43435
Sunnyside,80,29200
Crown Heights,75,27375
Chelsea,125,45625
Astoria,58,21170
Bedford-Stuyvesant,128,46720
Inwood,60,21900
Harlem,115,41975
SoHo,105,38325
Harlem,69,25185
Bedford-Stuyvesant,76,27740
Bedford-Stuyvesant,45,16425
Park Slope,80,29200
Williamsburg,75,27375
Upper East Side,200,73000
Williamsburg,89,32485
Williamsburg,80,29200
Upper West Side,197,71905
Lower East Side,35,12775
Clinton Hill,180,65700
Financial District,90,32850
Gowanus,125,45625
Upper East Side,170,62050
Washington Heights,180,65700
Hell's Kitchen,142,51830
Jackson Heights,60,21900
Upper East Side,98,35770
Flushing,40,14600
Harlem,59,21535
Flushing,40,14600
West Village,250,91250
Sunset Park,80,29200
Jackson Heights,50,18250
Morningside Heights,50,18250
Jackson Heights,65,23725
Upper East Side,140,51100
Bedford-Stuyvesant,47,17155
Midtown,184,67160
Williamsburg,139,50735
Williamsburg,57,20805
Williamsburg,150,54750
Bushwick,43,15695
Harlem,50,18250
Richmond Hill,250,91250
Bedford-Stuyvesant,125,45625
Williamsburg,50,18250
Midtown,240,87600
Flatlands,60,21900
Williamsburg,160,58400
Harlem,45,16425
Harlem,38,13870
Bedford-Stuyvesant,100,36500
Inwood,85,31025
Bedford-Stuyvesant,50,18250
Astoria,135,49275
Harlem,259,94535
Harlem,50,18250
Washington Heights,60,21900
Williamsburg,70,25550
Williamsburg,99,36135
Upper West Side,80,29200
Astoria,190,69350
Upper East Side,115,41975
East Village,250,91250
Williamsburg,70,25550
Williamsburg,225,82125
Crown Heights,31,11315
Bedford-Stuyvesant,40,14600
Bedford-Stuyvesant,37,13505
Williamsburg,239,87235
Washington Heights,75,27375
Gramercy,90,32850
Inwood,46,16790
Upper West Side,35,12775
Flatbush,85,31025
Hell's Kitchen,175,63875
Bayside,60,21900
Financial District,155,56575
Midtown,143,52195
East Village,140,51100
Upper West Side,120,43800
Cambria Heights,79,28835
Harlem,50,18250
Elmhurst,289,105485
Flatbush,62,22630
Sunnyside,85,31025
Clinton Hill,99,36135
East Flatbush,50,18250
Bushwick,120,43800
Crown Heights,180,65700
Hell's Kitchen,90,32850
Williamsburg,80,29200
Upper West Side,49,17885
Williamsburg,90,32850
Chelsea,55,20075
Ditmars Steinway,49,17885
Harlem,105,38325
Wakefield,40,14600
Harlem,50,18250
Long Island City,120,43800
East Village,90,32850
Williamsburg,110,40150
Midtown,140,51100
Astoria,125,45625
Midtown,95,34675
Washington Heights,75,27375
Pelham Gardens,75,27375
Hell's Kitchen,244,89060
Elmhurst,75,27375
Chelsea,75,27375
Harlem,105,38325
Williamsburg,100,36500
Gramercy,150,54750
Concourse,175,63875
Washington Heights,35,12775
Washington Heights,51,18615
Upper East Side,105,38325
Williamsburg,80,29200
East Village,84,30660
Williamsburg,70,25550
Bushwick,70,25550
Greenpoint,195,71175
East Village,150,54750
Upper West Side,100,36500
Upper West Side,100,36500
Morningside Heights,85,31025
Clinton Hill,225,82125
East Village,120,43800
Lower East Side,90,32850
Flatbush,175,63875
Washington Heights,65,23725
Long Island City,260,94900
Bedford-Stuyvesant,225,82125
South Slope,135,49275
Brooklyn Heights,135,49275
Williamsburg,195,71175
Two Bridges,99,36135
Hell's Kitchen,1000,365000
Hell's Kitchen,177,64605
Harlem,59,21535
Upper East Side,190,69350
Hell's Kitchen,1000,365000
Williamsburg,80,29200
Jamaica,60,21900
Gramercy,195,71175
Bedford-Stuyvesant,60,21900
Sunset Park,99,36135
Williamsburg,79,28835
Windsor Terrace,125,45625
Clinton Hill,89,32485
Washington Heights,55,20075
Ditmars Steinway,130,47450
Bedford-Stuyvesant,70,25550
Prospect Heights,110,40150
East Village,100,36500
Williamsburg,145,52925
Chelsea,195,71175
Flushing,30,10950
South Slope,50,18250
Astoria,68,24820
Lower East Side,90,32850
Harlem,85,31025
Prospect Heights,200,73000
Greenpoint,100,36500
East Village,150,54750
Upper West Side,199,72635
East Village,60,21900
Rockaway Beach,135,49275
Upper West Side,100,36500
Upper East Side,163,59495
Upper East Side,187,68255
Upper East Side,225,82125
Brooklyn Heights,120,43800
Flatbush,73,26645
Fort Greene,100,36500
Williamsburg,99,36135
Crown Heights,300,109500
Morningside Heights,92,33580
Williamsburg,42,15330
Upper East Side,100,36500
Ditmars Steinway,40,14600
West Village,225,82125
Park Slope,170,62050
Astoria,125,45625
Greenpoint,109,39785
Hell's Kitchen,150,54750
Upper West Side,50,18250
Concourse,49,17885
Windsor Terrace,265,96725
Financial District,80,29200
East New York,44,16060
Tribeca,260,94900
Midtown,133,48545
Ditmars Steinway,80,29200
Williamsburg,1000,365000
Upper West Side,154,56210
Gowanus,150,54750
Hell's Kitchen,150,54750
Midtown,125,45625
Harlem,60,21900
Bushwick,95,34675
Chelsea,75,27375
Chelsea,100,36500
Upper East Side,100,36500
Harlem,65,23725
West Village,200,73000
Midtown,180,65700
Long Island City,60,21900
Sunnyside,33,12045
Murray Hill,112,40880
Crown Heights,150,54750
West Village,230,83950
Boerum Hill,65,23725
Upper West Side,375,136875
SoHo,130,47450
Ditmars Steinway,400,146000
Upper West Side,120,43800
Midtown,900,328500
Upper East Side,150,54750
Ditmars Steinway,40,14600
Bedford-Stuyvesant,150,54750
Flatbush,30,10950
Chelsea,191,69715
Chelsea,219,79935
Williamsburg,250,91250
Williamsburg,180,65700
Hell's Kitchen,115,41975
Midtown,145,52925
Hell's Kitchen,399,145635
Bushwick,52,18980
Washington Heights,95,34675
Williamsburg,190,69350
Chelsea,480,175200
Upper West Side,180,65700
Greenpoint,150,54750
Williamsburg,150,54750
Greenwich Village,140,51100
Borough Park,70,25550
Greenpoint,70,25550
Murray Hill,197,71905
Gramercy,310,113150
East Village,128,46720
Chelsea,150,54750
Bushwick,26,9490
Ridgewood,75,27375
Chelsea,280,102200
West Village,93,33945
Upper East Side,390,142350
Midtown,115,41975
Hell's Kitchen,256,93440
Midtown,250,91250
Chelsea,200,73000
Clinton Hill,150,54750
Harlem,41,14965
Hell's Kitchen,100,36500
Upper West Side,75,27375
Chelsea,300,109500
Flatbush,50,18250
Crown Heights,85,31025
South Slope,475,173375
East Harlem,50,18250
Elmhurst,50,18250
Bushwick,179,65335
Lower East Side,72,26280
East Village,150,54750
Fort Hamilton,110,40150
Upper West Side,200,73000
East Harlem,50,18250
Bay Ridge,35,12775
Washington Heights,45,16425
South Slope,195,71175
Upper West Side,90,32850
Williamsburg,325,118625
Clinton Hill,100,36500
SoHo,85,31025
St. George,40,14600
Harlem,80,29200
West Village,149,54385
Harlem,67,24455
East Flatbush,80,29200
Williamsburg,80,29200
Crown Heights,275,100375
East New York,123,44895
East Harlem,179,65335
Sunset Park,196,71540
Hell's Kitchen,180,65700
Bedford-Stuyvesant,500,182500
Lower East Side,140,51100
Harlem,59,21535
Hell's Kitchen,200,73000
Bedford-Stuyvesant,165,60225
Williamsburg,230,83950
Greenpoint,90,32850
Long Island City,200,73000
Harlem,450,164250
Harlem,120,43800
Flushing,60,21900
Parkchester,51,18615
Bedford-Stuyvesant,200,73000
East Village,250,91250
Crown Heights,160,58400
Upper West Side,180,65700
Williamsburg,66,24090
Upper West Side,180,65700
East Village,65,23725
Kips Bay,87,31755
Bedford-Stuyvesant,60,21900
Bushwick,124,45260
Lower East Side,225,82125
Inwood,77,28105
Bushwick,79,28835
Hell's Kitchen,239,87235
Bushwick,65,23725
Vinegar Hill,170,62050
Hell's Kitchen,30,10950
Windsor Terrace,72,26280
Bushwick,75,27375
Bedford-Stuyvesant,35,12775
Bushwick,45,16425
Upper West Side,67,24455
Chelsea,700,255500
Harlem,150,54750
Bedford-Stuyvesant,115,41975
Brooklyn Heights,150,54750
Greenpoint,50,18250
Upper East Side,60,21900
Harlem,50,18250
Fordham,34,12410
Williamsburg,100,36500
Upper West Side,125,45625
Ditmars Steinway,100,36500
Financial District,125,45625
Bushwick,45,16425
East Village,198,72270
East Village,150,54750
Sunset Park,39,14235
Hell's Kitchen,150,54750
Long Island City,80,29200
Washington Heights,46,16790
Richmondtown,78,28470
Williamsburg,219,79935
Upper West Side,145,52925
Hell's Kitchen,220,80300
Chelsea,225,82125
Upper West Side,2000,730000
Upper West Side,175,63875
Williamsburg,220,80300
Flatbush,85,31025
Clinton Hill,77,28105
Murray Hill,110,40150
Maspeth,58,21170
Upper West Side,350,127750
Lower East Side,329,120085
Maspeth,58,21170
Maspeth,60,21900
Kew Gardens,43,15695
Prospect Heights,88,32120
Flatbush,90,32850
Sunset Park,41,14965
Bedford-Stuyvesant,65,23725
Bushwick,95,34675
Financial District,160,58400
Bedford-Stuyvesant,140,51100
Upper East Side,169,61685
Upper West Side,115,41975
Bushwick,67,24455
Windsor Terrace,60,21900
Greenpoint,45,16425
Lower East Side,60,21900
Upper East Side,142,51830
Williamsburg,350,127750
Harlem,40,14600
South Slope,65,23725
Ridgewood,50,18250
Ridgewood,42,15330
Fordham,130,47450
Chelsea,100,36500
Chelsea,175,63875
Hell's Kitchen,399,145635
Morningside Heights,110,40150
Ridgewood,45,16425
Astoria,40,14600
Hell's Kitchen,100,36500
Crown Heights,575,209875
Astoria,63,22995
Hell's Kitchen,177,64605
Lower East Side,158,57670
Red Hook,400,146000
Cobble Hill,90,32850
Lower East Side,135,49275
Williamsburg,200,73000
Crown Heights,155,56575
Two Bridges,100,36500
Greenwich Village,315,114975
East Harlem,45,16425
Kips Bay,125,45625
Washington Heights,49,17885
Harlem,220,80300
Harlem,220,80300
Rockaway Beach,100,36500
Clinton Hill,70,25550
Upper West Side,74,27010
Chinatown,290,105850
Crown Heights,100,36500
East Flatbush,85,31025
West Village,199,72635
Williamsburg,65,23725
Crown Heights,45,16425
Chinatown,95,34675
East Harlem,95,34675
Flatbush,80,29200
Chelsea,300,109500
Financial District,259,94535
Kips Bay,120,43800
SoHo,150,54750
Morningside Heights,120,43800
Chelsea,225,82125
Williamsburg,100,36500
Williamsburg,160,58400
Harlem,49,17885
East Village,150,54750
Midtown,100,36500
Midtown,275,100375
Clinton Hill,45,16425
Williamsburg,195,71175
Prospect-Lefferts Gardens,100,36500
Bedford-Stuyvesant,1000,365000
Lower East Side,195,71175
Ridgewood,87,31755
Flatbush,120,43800
Midtown,170,62050
Financial District,160,58400
South Slope,50,18250
Williamsburg,75,27375
Crown Heights,225,82125
Crown Heights,125,45625
Midtown,350,127750
Williamsburg,175,63875
Flatbush,65,23725
Hell's Kitchen,350,127750
Bushwick,45,16425
Fort Greene,120,43800
Sunnyside,75,27375
East Village,100,36500
Chelsea,850,310250
Bushwick,40,14600
Ditmars Steinway,100,36500
Williamsburg,178,64970
Sunnyside,170,62050
Woodhaven,45,16425
Financial District,180,65700
Williamsburg,89,32485
Bushwick,50,18250
Greenpoint,80,29200
South Slope,250,91250
Midtown,70,25550
Chelsea,170,62050
Financial District,90,32850
Upper East Side,45,16425
Flatbush,100,36500
Bushwick,65,23725
Upper East Side,45,16425
Upper East Side,45,16425
Upper East Side,45,16425
Upper East Side,90,32850
Washington Heights,150,54750
Williamsburg,62,22630
Fort Greene,125,45625
Murray Hill,125,45625
Crown Heights,175,63875
Bushwick,75,27375
Bay Ridge,30,10950
Chelsea,295,107675
Windsor Terrace,50,18250
Crown Heights,28,10220
Brownsville,69,25185
Harlem,75,27375
Financial District,175,63875
Bedford-Stuyvesant,50,18250
Greenwich Village,90,32850
Upper East Side,100,36500
Greenpoint,49,17885
Harlem,55,20075
Chelsea,249,90885
Astoria,36,13140
Astoria,65,23725
Williamsburg,60,21900
East Village,180,65700
Bedford-Stuyvesant,50,18250
Brooklyn Heights,110,40150
Midtown,87,31755
Fort Greene,100,36500
Sunnyside,120,43800
Cypress Hills,42,15330
West Village,145,52925
Astoria,110,40150
East Village,99,36135
Greenpoint,129,47085
West Village,186,67890
Williamsburg,350,127750
Greenpoint,165,60225
Tribeca,210,76650
Corona,119,43435
Civic Center,75,27375
Upper East Side,400,146000
Bedford-Stuyvesant,60,21900
Bedford-Stuyvesant,140,51100
Midtown,190,69350
Gramercy,245,89425
Tribeca,245,89425
Midtown,192,70080
Elmhurst,89,32485
Midtown,219,79935
Chelsea,179,65335
Financial District,199,72635
Financial District,238,86870
Fort Greene,140,51100
Bedford-Stuyvesant,37,13505
